Incident Number,bsee_activity,bsee_type_checkboxes,bsee_operation,bsee_cause_checkboxes,bsee_water_depth,bsee_property_damaged,bsee_possible_ocs_violations,bsee_violations_narrative,bsee_onsite_investigation_date,bsee_accident_classification,bsee_panel_formed,bsee_operator,bsee_form_revision,bsee_extract_status,bsee_source_url,bsee_sha256
SM-149-20040328-0800,EXPLORATION(POE) (DOCD/POD),D FIRE D EXPLOSION DBLOWOUT D COLLISION El INJURY NO. 1 D FATALITY NO. D POLLUTION D OTHER,PRODUCTION D DRILLING ~ D WORKOVER D COMPLETION D MOTOR VESSEL D PIPELINE SEGMENT D OTHER * * * * INVESTIGATION REPORT,OEQUIPMENT FAILURE ~ HUMAN ERROR HOURS D EXTERNAL DAMAGE D SLIP/TRIP/FALL DWEATHER RELATED D LEAK ouPSET H20 TREATING DOVERBOARD DRILLING FLUID D OTHER ~~~~~~~~~~~~~~~~,228 FT.,None,23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR None,Ol-APR-2004,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Unocal Exploration Corporation REPRESENTATIVE: TELEPHONE:,A,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/bsee/040328-pdf.pdf,5b800cfa10462a6c87fcb65e3eccc31e65eef365de6e250b04ce675a65a6e3a2
ST-260-20040329-0130,EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DO~D/POD) D,FIRE D EXPLOSION D BLOWOUT El COLLISION D INJURY NO. 0 D FATALITY NO. 0 D POLLUTION D OTHER,PRODUCTION ~ D DRILLING D WORKOVER D COMPLETION D MOTOR VESSEL D PIPELINE SEGMENT NO. D OTHER * * * *,DEQUIPMENT FAILURE D HUMAN ERROR D EXTERNAL DAMAGE D SLIP/TRIP/FALL owEATHER RELATED D LEAK ouPSET H20 TREATING DOVERBOARD DRILLING FLUID ~OTHER Unknown ~~~~~~~~~~~~~~~~,310 FT.,"-North Leg of Platform Collision Damage. -Crane Pedestal -Boat Landing -Mies. Components $300,000",23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Walter Oil & Gas Corporation REPRESENTATIVE: TELEPHONE:,A,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/bsee/040329-pdf.pdf,0e5a5e45987ccaa2b60e0892be1c9a6eec246361821e4524143c9f8bb045c589
HI-47-20040519-0830,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),X FIRE EXPLOSION BLOWOUT COLLISION X INJURY NO. 2 FATALITY NO. 0 POLLUTION OTHER,X PRODUCTION DRILLING WORKOVER COMPLETION MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID X OTHERHuman Error LONGITUDE:-93.892129379. WATER DEPTH: 38 FT.,,"The major items destroyed in the fire Fire burned, damaged or destroyed were the living quarters building with its contents, the meter run house, meter runs and telemetry systems, and the main generator. There appeaars to be no strucdtural damage; only smoke and paint damage. $800,000",S,"The addition of the flow line from the swab valve to the sand knockout, and the sand knock itself are not described the current approved process flow diagram or safe chart at the time of the fire. There appears to be no safety shut down system devices on the sand knockout or swab flow line. The flow line from the sand knockout to the choke manifold was installed with screwed fittings and hammer unions. There was no approval for this installation for the use of 2-inch piping with of the fire.",,29. ACCIDENT INVESTIGATIO N PANEL FORMED: NO,,"Spinnaker Exploration Company, L.L.C. REPRESENTATIVE: Ben Benson TELEPHONE: (985) 781-0804",A,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/bsee/040519-pdf.pdf,fd9847613e1d81b37347f5ee63b369e5e7816689b598db0b9ff1505b5decfb9f
WC-237-20041106-0800,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),X HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM Services REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL X WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,70 FT.,NATURE none none $,YES,The structural beams which support the well A-6 access hatch cover were cut and not returned to their original design,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,ATP Oil & Gas Corporation REPRESENTATIVE: Greg Roland TELEPHONE: (713) 403-7007 CONTRACTOR: Wood Group Production REPRESENTATIVE: Troy Gaspard TELEPHONE: (337) 370-9675,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/bsee/041106-pdf.pdf,992ea152fc557f41f74cad96329524b659522dd1c16e8c1dafe58d15e74e8c98
EI-327-20041223-1420,EXPLORATION(POE) Pi! (DOCD/POD) EJ,FIRE EJ EXPLOSION DBLOWOUT D COLLISION D INJURY NO. 0 D FATALITY NO. 0 D POLLUTION D OTHER El,PRODUCTION D DRILLING D WORKOVER D COMPLETION D MOTOR VESSEL D PIPELINE SEGMENT D OTHER INVESTIGATION REPORT D,EQUIPMENT FAILURE ~ HUMAN ERROR HOURS D EXTERNAL DAMAGE Oil & Gas D SLIP/TRIP/FALL D WEATHER RELATED DLEAK D UPSET H20 TREATING DOVERBOARD DRILLING FLUID OoTHER,262 FT.,"Float Cell - (ABM 0600) Six Hatch Covers damaged $14,000",23. POSSIBLE OCS VIOLATIONS RELATED,"24. SPECIFY VIOLATIONS DIRECTLY OR TO ACCIDENT: YES INDIRECTLY CONTRIBUTING. a. The Float Cell was not covered with a fire blanket, allowing sparks to contact the area near the hatch seals, nor were the flammable substances .rendered inert. This is a violation of 30 CFR 250.113(a). This is also not in conformance with El Paso's ""Welding and Burning Safe Practice Plan"", a violation of 30 CFR 109(a). b. The work, as a result of (a.), above, workmanlike manner, and did not protect of 30 CFR 250.107(a) (1). An Incident of violation (G-110).",28. 29.,,,El Paso Production Company REPRESENTATIVE: Ken Hunter TELEPHONE: (713) 445-9612,A,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/safety/041223-pdf.pdf,b25f1c4c3b576adbca0475126f7ded19e8600f8d2678087abd387a24b2a270c3
EI-32-20041227-0250,EXPLORATION(POE) (DOCD/POD),D FIRE D EXPLOSION DBLOWOUT D COLLISION D INJURY NO. D FATALITY NO. E1 POLLUTION D OTHER,PRODUCTION ~ D DRILLING WORKOVER D COMPLETION D D MOTOR VESSEL D PIPELINE SEGMENT D OTHER INVESTIGATION REPORT l!J,EQUIPMENT FAILURE D HUMAN ERROR HOURS D EXTERNAL DAMAGE D SLIP/TRIP/FALL D WEATHER RELATED DLEAK l!J UPSET H20 TREATING D OVERBOARD DRILLING FLUID OoTHER ~~~~~~~~~~~~~~~,20 FT.,None,23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR recommendations to the Office of Safety Management. TO ACCIDENT: YES INDIRECTLY CONTRIBUTING. Incident of Non-compliance (E-100) incident. The operator was advised of the incident and measures to be,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Union Oil Company of California REPRESENTATIVE: George Obey TELEPHONE: (281) 295-6472,A,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/bsee/041227-pdf.pdf,07d53acda037beb05ce689e496527ba59c4fcd5385d21d775747ad87fdcaff34
LA-6660-20110526-1130,EXPLORATION(POE) (!9 (DOCD/POD),"~HISTORIC .INJURY X REQUIRED EVACUATION 1 LTA (1-3 days) LTA {>3 days x RW/JT (1-3 days) 1 .RW/JT {>3 days) Other Injury FATALITY ~ POLLUTION FIRE EXPLOSION LWC ~ HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR 0 COLLISION 0HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Offshore, LLC DAMAGED/DISABLED SAFETY SY$. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER 1 INJURY/EVAC'D REPRESENTATIVE/SUPERVISOR",X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER,176 FT.,NATURE OF No property damage. Left $,"NO transportation basket. had his hand resting hand. was on the edge when valve DAMAGE: hand, middle finger. transportation basket.",24. SPECIFY VIOLATIONS DIRECTLY OR,,MINOR,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Pacific Operators REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/forms/05-26-11.pdf,1cd6281aee62c69136a232b1de84a69b0029a0fdd6646255f3d6fc825ed56ace
LB-6437-20110528-0945,EXPLORATION(POE) ~ (DOCD/POD),~HISTORIC INJURY X REQUIRED EVACUATION 1 LTA (1-3 days) x LTA (>3 days 1 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY ~ POLLUTION FIRE EXPLOSION LWC ~ HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR D COLLISION 0HISTORIC >$25K STRUCTURAL DAMAGE HOURS CRANE X OTHER LIFTING DEVICE Ensign Rig 607 DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER 1 INJURY/EVAC'O REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER X COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER,150 FT.,NATURE,NO,24. SPECIFY VIOLATIONS DIRECTLY OR INDIRECTLY,28. ACCIDENT 28-MAY-2011 MINOR,,,"DCOR, L.L.C. REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/05-28-11.pdf,37deb959f8cc6cabb9cfc0b608ee871cb6451a27a51cfb77eaf10ef9b7d73e61
WC-280-20050114-1145,EXPLORATION(POE) (DOCD/POD),D FIRE D EXPLOSION DBLOWOUT D COLLISION El INJURY NO. 2 D FATALITY NO. D POLLUTION E] OTHER Atmospheric,PRODUCTION ~ DRILLING D WORKOVER D COMPLETION D MOTOR VESSEL D PIPELINE SEGMENT D D OTHER 8 .. CAUSE: EQUIPMENT FAILURE ~ @ HUMAN ERROR HOURS D EXTERNAL DAMAGE D SLIP/TRIP/FALL D WEATHER RELATED DLEAK Brockmeyer D UPSET H20 TREATING D OVERBOARD DRILLING FLUID OoTHER ~~~~~~~~~~~~~~~,,94 FT.,,23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR TO ACCIDENT: YES INDIRECTLY CONTRIBUTING. Issued G-110. The operator failed to perform operations in a safe and workmanlike manner. The operator's failure to provide adequate supervision during simultaneous operations resulted in a very unsafe work environment. The following either directly or indirectly contributed to the incident. * Personnel were required to work in insufficient lighting * Personnel failed to properly isolate production equipment and process piping * Personnel failed to utilize * Personnel failed to utilize signs to be overlooked or not * The JSA provided to the MM:S * SPN failed to provide field work * Improper management of time personnel,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO I,"SPN Resources, LLC REPRESENTATIVE: James TELEPHONE: (281) 391-7424",A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/bsee/050114a-pdf.pdf,8f2257907f4bc189e6fb6f3dfde8dd1463edd7d048a0d6fb312f0580e1206bff
SS-92-20050119-0900,EXPLORATION(POE) (DOCD/POD),D FIRE D EXPLOSION DBLOWOUT El COLLISION D INJURY NO. D FATALITY NO. D POLLUTION D OTHER,PRODUCTION ~ D DRILLING D WORKOVER D COMPLETION D MOTOR VESSEL D PIPELINE SEGMENT D OTHER * * * * * * INVESTIGATION REPORT D,EQUIPMENT FAILURE !!] HUMAN ERROR HOURS D EXTERNAL DAMAGE Ltd. D SLIP/TRIP/FALL D WEATHER RELATED DLEAK D UPSET H20 TREATING D OVERBOARD DRILLING FLUID OoTHER 28.886354,24 FT. -90.772845,"NATURE flowlines, header, handrails on two sides of the platform $35,000",23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Bois d'Arc Offshore REPRESENTATIVE: Toby Trosclair TELEPHONE: (985} 631-3278,A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050119-pdf.pdf,f223a5b64beb5b26f5b08526e3d313a513617180a548e1be4dcdedbaf61c1765
SS-209-20050119-1800,EXPLORATION(POE) X (DOCD/POD),FIRE X EXPLOSION BLOWOUT COLLISION INJURY NO. 0 FATALITY NO. 0 POLLUTION OTHER,X PRODUCTION DRILLING WORKOVER COMPLETION MOTOR VESSEL PIPELINE SEGMENT OTHER INVESTIGATION REPORT,X EQUIPMENT FAILURE HUMAN ERROR HOURS EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER 28.549285,140 FT. -90.853494,"1"" X 3"" nipple nipple had to be replaced blankets on exhaust blankets were ruined and shall be replaced $1,000",NO Houma District Office has no,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Unocal Exploration Corporation REPRESENTATIVE: Lonnie Dugas TELEPHONE: (281) 287-7425,A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050119a-pdf.pdf,03ffb81b4ba5938a718402d36f03303336886cb300ba782f0a5491e179cefa44
WR-508-20050120-2230,X EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY 0 POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K <=$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K Crane equipment H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Fire,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,9576 FT.,"NATURE Engine compartment, electrical and Burned mechanical equipment in crane pedestal $60,000",NO,24. SPECIFY VIOLATIONS DIRECTLY OR INDIRECTLY,OF DAMAGE: equipment Houma District Office has no Management. CONTRIBUTING.,,29. ACCIDENT INVESTIGATION PANEL FORMED:,BP Exploration & Production Inc. REPRESENTATIVE: Scherie Douglas TELEPHONE: (281) 366-6843 CONTRACTOR: Transocean Offshore REPRESENTATIVE: Van Williams TELEPHONE: (832) 587-8500,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050120-pdf.pdf,cee0e3498f5409376a981087a0bad8e8ea3b0a6ae5c23a8902f3319c233f5fe3
ST-308-20050210-0430,EXPLORATION(POE) X (DOCD/POD),FIRE EXPLOSION BLOWOUT COLLISION INJURY NO. 0 FATALITY NO. 0 POLLUTION X OTHER Crane/Helicopter,PRODUCTION DRILLING WORKOVER X COMPLETION MOTOR VESSEL PIPELINE SEGMENT OTHER INVESTIGATION REPORT,EQUIPMENT FAILURE HUMAN ERROR X HOURS EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,484 FT.,"NATURE Air Logistics Helicopters' main rotor Dents, blade and tail fin. $83,472",YES,"24. SPECIFY VIOLATIONS DIRECTLY OR INDIRECTLY PINC I-101, under the authority of 30 CFR with API RP 2D, paragraph 3.1.5a.",,,,Apache Corporation REPRESENTATIVE: Mark Wilson TELEPHONE: (337) 735-8649,A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050210-pdf.pdf,9815d4a892fa972bac815c02a48fd3e8d176357e469df5d25d37b368442938b5
MC-772-20050220-1100,EXPLORATION(POE) (DOCD/POD),D FIRE D EXPLOSION DBLOWOUT D COLLISION El INJURY NO. 1 D FATALITY NO. 0 D POLLUTION D OTHER,PRODUCTION D DRILLING ~ WORKOVER D COMPLETION D MOTOR VESSEL D D PIPELINE SEGMENT D OTHER INVESTIGATION REPORT D,EQUIPMENT FAILURE ~ HUMAN ERROR HOURS D EXTERNAL DAMAGE & D SLIP/TRIP/FALL D WEATHER RELATED DLEAK Tuttle D UPSET H20 TREATING D OVERBOARD DRILLING FLUID OoTHER ---------------,5413 FT.,n/a,23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Dominion Exploration Production, Inc. REPRESENTATIVE: Steven P. TELEPHONE: (504) 593-7193",A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050220-pdf.pdf,cf703609ecab3ef40d21563b1bda1cf7a02702b76f15d27cb44956a851aad389
EI-261-20050225-1043-efe9d45e,EXPLORATION(POE) X (DOCD/POD),FIRE EXPLOSION BLOWOUT COLLISION INJURY NO. FATALITY NO. X POLLUTION OTHER,X PRODUCTION DRILLING WORKOVER COMPLETION MOTOR VESSEL PIPELINE SEGMENT OTHER,X EQUIPMENT FAILURE HUMAN ERROR X HOURS EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK X Thibodeaux UPSET H2O TREATING OVERBOARD DRILLING FLUID X OTHER Weather related,166 FT.,"Compressor unit, generator unit, platform electrical system, and pneumatic instrument system. 22. RECOMMENDATIONS TO PREVENT The Houston Exploration Company Burned and charred $365,000 RECURRANCE (THEC) recommended the following: 1. Review the platform's HP vent scrubber and flare boom. Ensure adequate protection from all possible sources of gas that can be handled without pulling liquids through the flare scrubber. MMS recommended the following to The Houston Exploration Company: 1. Convert the manual liquid drain pumps with level controllers. 2. Install a restriction device in for the HP vent scrubber to automatic discharge the compressor blow down piping upstream of the vent system to assist in controlling the high pressure blow down surge of compressed gas when the compressor shuts down. 3. Charged the operator with assuring that the HP vent scrubber is designed and installed to prevent liquid carry over. Based on the unique design and operating characteristics of the HP vent scrubber, the Lafayette District recommends that the TAOS section review the vessel design features to determine that liquids are sufficiently scrubbed and discharged to prevent carry over when operating in atmospheric service. The inlet stream enters from the top into a vented chamber them imparts a rotation to the gas stream as it leaves the inlet chamber. This makes the vessel operate similar to a centrifuge (similar to a de-sander on a rig). Liquid is ""slung"" to the outside of the vessel and the center of the vessel is relatively liquids free. The ""scrubbed gas"" exits low in the vessel but enters the outlet piping about mid­ way up the vessel through an internal riser pipe. This internal riser pipe supposedly gives the vessel a much greater liquid operating level than is indicated by external appearance. The level safety high (LSH) is set to trip between nozzles C1 and C2 which is 2 feet below the top of the gas outlet piping. The liquid in the vent scrubber was pumped down manually at the time of the carry over and resulting fire.",NO,24. SPECIFY VIOLATIONS DIRECTLY OR None,INDIRECTLY CONTRIBUTING.,,,The Houston Exploration Company REPRESENTATIVE: Dalton TELEPHONE: (337) 356-0119,A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050225a-pdf.pdf,efe9d45e9100552d6ccfc69bf68e29f8168f87d4f431757fce8bfcd753a1f69d
MC-807-20050228-2330,EXPLORATION(POE) X (DOCD/POD),FIRE EXPLOSION BLOWOUT COLLISION INJURY NO. FATALITY NO. X POLLUTION OTHER,PRODUCTION X DRILLING WORKOVER COMPLETION MOTOR VESSEL PIPELINE SEGMENT OTHER INVESTIGATION REPORT,EQUIPMENT FAILURE HUMAN ERROR X HOURS EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,2945 FT.,"NATURE OF 204 barrels of synthetic base mud. SBM lost $34,500",YES,"E-100 30CFR250.300(a) States in part that. . . During the exploration, development, and production of prevent unauthorized discharge",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,Shell Offshore Inc. REPRESENTATIVE: Mike Caston TELEPHONE: (504) 728-1470,A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050228-pdf.pdf,9b6ae7db41193f9469074c8478af390dc347907ff23e1a129bb5e92fbc739956
ST-242-20050308-2015,EXPLORATION(POE) X (DOCD/POD),FIRE EXPLOSION X BLOWOUT COLLISION INJURY NO. 0 FATALITY NO. 0 POLLUTION OTHER,PRODUCTION X DRILLING WORKOVER COMPLETION MOTOR VESSEL PIPELINE SEGMENT OTHER INVESTIGATION REPORT,X EQUIPMENT FAILURE HUMAN ERROR HOURS EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER 28.34938602,159 FT. -90.66869893,"wellhead, choke and kill hose, manifold all these items were plugged with cured lines and valves cement $308,500",NO Houma District has no,24. SPECIFY VIOLATIONS DIRECTLY OR n/a,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Hunt Oil Company REPRESENTATIVE: Penny Plumlee TELEPHONE: (214) 978-8447,A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050308-pdf.pdf,c2034ccbf5930fe46935328d97ab7845e4d181f6f75421c0d3fefce73ee5db93
GC-157-20050311-1510,EXPLORATION(POE) X (DOCD/POD),FIRE EXPLOSION BLOWOUT COLLISION INJURY NO. 0 FATALITY NO. 0 X POLLUTION X OTHER Accidental Riser,PRODUCTION DRILLING WORKOVER X COMPLETION MOTOR VESSEL PIPELINE SEGMENT OTHER INVESTIGATION REPORT,EQUIPMENT FAILURE HUMAN ERROR X HOURS EXTERNAL DAMAGE COMPANY SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,2618 FT.,"Lost 500 bbls calcium bromide completion Lost 500 bbls calcium bromide completion fluid from the riser. fluid from the riser. $77,500",NO,24. SPECIFY VIOLATIONS DIRECTLY OR INDIRECTLY,,,,LLOG EXPLORATION REPRESENTATIVE: Bob McMann TELEPHONE: (504) 833-7700,A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050311-pdf.pdf,021584e5415c5a02e6ea70e559612cc2ead7500aca1796b3d49b2c0015ee9a6a
MC-822-20050315-1500,X EXPLORATION(POE) 12. DEVELOPMENT/PRODUCTION (DOCD/POD) 13.,FIRE EXPLOSION BLOWOUT 16. COLLISION INJURY NO. FATALITY NO. X POLLUTION OTHER,PRODUCTION X DRILLING WORKOVER COMPLETION MOTOR VESSEL PIPELINE SEGMENT NO. OTHER CAUSE: X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER WATER DEPTH: 6262 FT. DISTANCE FROM SHORE: 61 MI. WIND DIRECTION: SE SPEED: 29 M.P.H. CURRENT DIRECTION: SE SPEED: 1 M.P.H. SEA STATE: 8 FT. OPERATOR REPRESENTATIVE/ SUPERVISOR ON SITE AT TIME OF INCIDENT: Paul Lockwood CITY: Katy STATE: TX TELEPHONE: (281) 398-4062 CONTRACTOR: Transocean Offshore CONTRACTOR REPRESENTATIVE/ SUPERVISOR ON SITE AT TIME OF INCIDENT: Larry O. Rogers CITY: Monticello STATE: MS TELEPHONE: (601) 587-4988 * * * * * * 10-MAY-2005,,,"19 Barrels of Synthetic Base Mud 19 Barrels of Synthetic Base Mud Lost Overboard $3,800",NO,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,BP Exploration & Production Inc. REPRESENTATIVE: Paul Lockwood TELEPHONE: (713) 232-8245,A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050315-pdf.pdf,282576f61c81c3972af5e3ebc5779ae44d7b0783f43c8932ec8ee139cec95642
SP-62-20050317-0400,EXPLORATION(POE) X (DOCD/POD),FIRE EXPLOSION BLOWOUT COLLISION INJURY NO. 0 FATALITY NO. 0 POLLUTION X OTHER Fast line on crane,X PRODUCTION DRILLING WORKOVER COMPLETION MOTOR VESSEL PIPELINE SEGMENT OTHER INVESTIGATION REPORT,X EQUIPMENT FAILURE HUMAN ERROR HOURS EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK Broussard UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,322 FT.,"65 Ton Rental Crane Broken fast line and ball and pipe lost overboard. $2,932",NO,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,Apache Corporation REPRESENTATIVE: David TELEPHONE: (337) 232-2415,A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050317-pdf.pdf,f0ad7d6b588800e033ac42eb3894b0ac0b6e13d730ab79a791ef22851fd34bfc
MC-807-20050318-1115,X EXPLORATION(POE) (DOCD/POD),FIRE EXPLOSION BLOWOUT COLLISION INJURY NO. FATALITY NO. X POLLUTION OTHER,PRODUCTION X DRILLING WORKOVER COMPLETION MOTOR VESSEL PIPELINE SEGMENT OTHER,X EQUIPMENT FAILURE HUMAN ERROR HOURS EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK Landry UPSET H2O TREATING X OVERBOARD DRILLING FLUID OTHER,2945 FT.,,YES,"E-100 30 CFR 250.300(a) States in part that...During the exploration, development, and production of oil and gas, the lessee shall take measures to prevent unauthorized discharge of pollutants into the offshore waters.",,,,Shell Offshore Inc. REPRESENTATIVE: Rodney TELEPHONE: (504) 728-1472,A,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/050318-pdf.pdf,0a9e492c6d61bf86ac060843aa01ba16dabdc509e42fc7c8fa8d0c1b122733d9
